Prov_ID,Province,Dist_ID,District,Sect_ID,Name,join_key,sector,non_poor,vulnerable,moderately_poor,severely_poor,total,count,district,poverty_rate,poverty_index,affluence_index,poor_population,severely_poor_population,non_poor_population
1.0,Kigali City,13.0,Kicukiro,1301.0,Gahanga,gahanga,Gahanga,72.8,14.7,9.2,3.3,100,91500,Kicukiro,12.5,14.3,53.43333333333333,11437.5,3019.5,66612.0
1.0,Kigali City,13.0,Kicukiro,1302.0,Gatenga,gatenga,Gatenga,85.4,9.2,4.2,1.2,100,76266,Kicukiro,5.4,12.120000000000001,60.0,4118.3640000000005,915.192,65131.164000000004
1.0,Kigali City,13.0,Kicukiro,1303.0,Gikondo,gikondo,Gikondo,91.8,5.9,1.9,0.3,100,18466,Kicukiro,2.1999999999999997,11.05,63.166666666666664,406.25199999999995,55.398,16951.788
1.0,Kigali City,13.0,Kicukiro,1304.0,Kagarama,kagarama,Kagarama,90.2,6.9,2.6,0.4,100,21609,Kicukiro,3.0,11.34,62.43333333333334,648.27,86.436,19491.318
1.0,Kigali City,13.0,Kicukiro,1305.0,Kanombe,kanombe,Kanombe,83.7,9.9,5.1,1.3,100,79728,Kicukiro,6.3999999999999995,12.4,59.1,5102.592,1036.4640000000002,66732.33600000001
1.0,Kigali City,13.0,Kicukiro,1306.0,Kicukiro,kicukiro,Kicukiro,93.3,5.3,1.2,0.2,100,17982,Kicukiro,1.4,10.83,63.96666666666667,251.748,35.964,16777.206
1.0,Kigali City,13.0,Kicukiro,1307.0,Kigarama,kigarama,Kigarama,86.4,8.8,3.9,0.8,100,70740,Kicukiro,4.7,11.89,60.53333333333334,3324.78,565.92,61119.36
1.0,Kigali City,13.0,Kicukiro,1307.0,Kigarama,kigarama,Kigarama,34.7,24.3,32.6,8.4,100,37679,Kirehe,41.0,21.47,31.233333333333334,15448.39,3165.0360000000005,13074.613000000001
1.0,Kigali City,13.0,Kicukiro,1308.0,Masaka,masaka,Masaka,74.5,14.2,9.0,2.4,100,85335,Kicukiro,11.4,13.95,54.4,9728.19,2048.04,63574.575
1.0,Kigali City,13.0,Kicukiro,1309.0,Niboye,niboye,Niboye,94.2,4.3,1.4,0.1,100,30306,Kicukiro,1.5,10.74,64.23333333333333,454.59,30.306000000000004,28548.252
1.0,Kigali City,13.0,Kicukiro,1310.0,Nyarugunga,nyarugunga,Nyarugunga,94.1,4.1,1.6,0.3,100,49735,Kicukiro,1.9000000000000001,10.83,64.1,944.965,149.205,46800.635
2.0,Southern Province,21.0,Nyanza,2101.0,Busasamana,busasamana,Busasamana,59.0,18.5,17.3,5.1,100,54321,Nyanza,22.4,16.830000000000002,45.5,12167.903999999999,2770.3709999999996,32049.39
2.0,Southern Province,21.0,Nyanza,2101.0,Busasamana,busasamana,Busasamana,27.5,19.5,35.2,17.8,100,36619,Rubavu,53.0,24.330000000000002,24.833333333333332,19408.07,6518.182000000001,10070.225
2.0,Southern Province,21.0,Nyanza,2102.0,Busoro,busoro,Busoro,33.7,21.0,29.7,15.6,100,40338,Nyanza,45.3,22.72,29.46666666666667,18273.113999999998,6292.727999999999,13593.906
2.0,Southern Province,21.0,Nyanza,2103.0,Cyabakamyi,cyabakamyi,Cyabakamyi,30.6,29.0,32.5,7.9,100,24979,Nyanza,40.4,21.77,30.066666666666666,10091.516,1973.3410000000001,7643.5740000000005
2.0,Southern Province,21.0,Nyanza,2104.0,Kibilizi,kibilizi,Kibilizi,27.1,22.7,32.1,18.1,100,41150,Nyanza,50.2,24.12,25.633333333333336,20657.300000000003,7448.1500000000015,11151.65
2.0,Southern Province,21.0,Nyanza,2105.0,Kigoma,kigoma,Kigoma,36.3,22.5,30.2,10.9,100,42249,Nyanza,41.1,21.55,31.7,17364.339,4605.1410000000005,15336.386999999999
2.0,Southern Province,21.0,Nyanza,2105.0,Kigoma,kigoma,Kigoma,42.1,26.0,27.0,4.9,100,26579,Huye,31.9,19.47,36.733333333333334,8478.701,1302.371,11189.759000000002
2.0,Southern Province,21.0,Nyanza,2106.0,Mukingo,mukingo,Mukingo,42.9,24.3,25.8,7.0,100,40510,Nyanza,32.8,19.69,36.699999999999996,13287.28,2835.7,17378.79
2.0,Southern Province,21.0,Nyanza,2107.0,Muyira,muyira,Muyira,30.3,24.8,31.5,13.4,100,43489,Nyanza,44.9,22.8,28.46666666666667,19526.560999999998,5827.526,13177.167
2.0,Southern Province,21.0,Nyanza,2108.0,Ntyazo,ntyazo,Ntyazo,26.5,22.3,33.0,18.2,100,34064,Nyanza,51.2,24.29,25.099999999999998,17440.768,6199.647999999999,9026.96
2.0,Southern Province,21.0,Nyanza,2109.0,Nyagisozi,nyagisozi,Nyagisozi,30.4,29.2,32.1,8.2,100,28846,Nyanza,40.3,21.790000000000003,30.0,11624.937999999998,2365.372,8769.184
2.0,Southern Province,21.0,Nyanza,2109.0,Nyagisozi,nyagisozi,Nyagisozi,48.1,18.7,28.5,4.8,100,18554,Nyaruguru,33.3,19.02,38.300000000000004,6178.482,890.592,8924.474
2.0,Southern Province,21.0,Nyanza,2110.0,Rwabicuma,rwabicuma,Rwabicuma,35.6,26.6,30.9,6.9,100,21952,Nyanza,37.8,20.91,32.6,8297.856,1514.688,7814.912
2.0,Southern Province,22.0,Gisagara,2201.0,Gikonko,gikonko,Gikonko,32.2,21.9,34.5,11.5,100,28794,Gisagara,46.0,22.55,28.76666666666667,13245.24,3311.31,9271.668
2.0,Southern Province,22.0,Gisagara,2202.0,Gishubi,gishubi,Gishubi,21.3,19.9,38.9,20.0,100,31209,Gisagara,58.9,25.78,20.833333333333332,18382.101,6241.8,6647.517000000001
2.0,Southern Province,22.0,Gisagara,2203.0,Kansi,kansi,Kansi,40.6,22.7,29.7,7.0,100,23524,Gisagara,36.7,20.31,34.63333333333333,8633.308,1646.68,9550.744
2.0,Southern Province,22.0,Gisagara,2204.0,Kibirizi,kibirizi,Kibirizi,36.8,22.0,32.1,9.1,100,34480,Gisagara,41.2,21.35,31.866666666666664,14205.76,3137.68,12688.64
2.0,Southern Province,22.0,Gisagara,2204.0,Kibirizi,kibirizi,Kibirizi,34.2,33.5,27.8,4.6,100,22044,Nyamagabe,32.4,20.3,33.96666666666667,7142.255999999999,1014.0239999999999,7539.048000000001
2.0,Southern Province,22.0,Gisagara,2205.0,Kigembe,kigembe,Kigembe,32.8,24.3,35.6,7.3,100,23360,Gisagara,42.9,21.74,29.966666666666665,10021.44,1705.28,7662.079999999999
2.0,Southern Province,22.0,Gisagara,2206.0,Mamba,mamba,Mamba,30.1,20.9,32.3,16.7,100,44880,Gisagara,49.0,23.56,27.03333333333333,21991.2,7494.96,13508.88
2.0,Southern Province,22.0,Gisagara,2207.0,Muganza,muganza,Muganza,29.8,21.4,34.8,14.0,100,36715,Gisagara,48.8,23.3,27.0,17916.92,5140.1,10941.07
2.0,Southern Province,22.0,Gisagara,2207.0,Muganza,muganza,Muganza,35.9,23.4,33.3,7.4,100,19277,Nyaruguru,40.699999999999996,21.220000000000002,31.73333333333333,7845.738999999999,1426.4980000000003,6920.442999999999
2.0,Southern Province,22.0,Gisagara,2207.0,Muganza,muganza,Muganza,48.4,18.3,25.4,8.0,100,29446,Rusizi,33.4,19.32,38.36666666666667,9834.964,2355.68,14251.864
2.0,Southern Province,22.0,Gisagara,2208.0,Mugombwa,mugombwa,Mugombwa,41.2,21.5,29.7,7.6,100,34760,Gisagara,37.3,20.369999999999997,34.63333333333333,12965.48,2641.76,14321.12
2.0,Southern Province,22.0,Gisagara,2209.0,Mukindo,mukindo,Mukindo,33.0,22.1,33.6,11.3,100,32209,Gisagara,44.900000000000006,22.32,29.366666666666664,14461.841,3639.617,10628.97
2.0,Southern Province,22.0,Gisagara,2210.0,Musha,musha,Musha,30.7,21.5,34.4,13.4,100,29634,Gisagara,47.8,23.049999999999997,27.633333333333336,14165.052,3970.956,9097.637999999999
2.0,Southern Province,22.0,Gisagara,2210.0,Musha,musha,Musha,40.7,23.1,27.6,8.5,100,27614,Rwamagana,36.1,20.369999999999997,34.833333333333336,9968.654,2347.19,11238.898000000001
2.0,Southern Province,22.0,Gisagara,2211.0,Ndora,ndora,Ndora,30.7,22.7,33.1,13.5,100,31477,Gisagara,46.6,22.94,28.03333333333333,14668.282,4249.395,9663.439
2.0,Southern Province,22.0,Gisagara,2212.0,Nyanza,nyanza,Nyanza,26.3,22.8,40.0,10.9,100,20225,Gisagara,50.9,23.55,25.133333333333336,10294.525,2204.525,5319.175
2.0,Southern Province,22.0,Gisagara,2213.0,Save,save,Save,39.2,24.7,28.7,7.5,100,33173,Gisagara,36.2,20.47,34.36666666666667,12008.626,2487.975,13003.816
2.0,Southern Province,23.0,Nyaruguru,2301.0,Busanze,busanze,Busanze,32.0,26.6,31.8,9.6,100,26955,Nyaruguru,41.4,21.9,30.2,11159.37,2587.68,8625.6
